,page,raw_data
10,HKBlindUnion,"
7月23日 18:48
  ·
[為香港運動員打氣]
奧運會即將開幕(仲有十分鐘唔夠)，大家最關心嘅應該就係香港運動員嘅動向啦，今屆香港運動員到底參加啲咩嘅項目，同埋有啲咩看頭呢？
奧運進行期間，賽馬會開聲體體育口述影像服務都會舉辦實體或者係網上活動，邀請視障朋友同我哋一齊直擊比賽過程，大家記得留意我地網台嘅公佈。
第一個活動當然係一齊睇奧運開幕典禮，將會由體育口述影像培訓班嘅學員同大家一齊見證呢一個盛典: https://www.jcspa.hk/programme/epg/316
或者透過Zoom 加入我地: 會議室編號399 607 6000
23
23
3次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
11,HKBlindUnion,"
7月23日 13:17
  ·
[東京奧運就開幕啦]￼
嚟到開幕前半日，雷雄德博士會繼續同大家介紹今屆奧運會新增嘅比賽項目、同埋講吓有啲國家居然唔可以參加比賽喎，點解呢？
奧運進行期間，賽馬會開聲體體育口述影像服務都會舉辦實體或者係網上活動，邀請視障朋友同我哋一齊直擊比賽過程，大家記得留意我地網台嘅公佈：https://www.jcspa.hk/press/upcoming/315 
第一個活動當然係一齊睇奧運開幕典禮，將會由體育口述影像培訓班嘅學員同大家一齊見證呢一個盛典，今晚7點見。
#賽馬會開聲體體育口述影像服務 #視障人士 #口述影像 #東京奧運 #Toyko2020 #雷雄德博士 #雷sir
13
13
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
12,HKBlindUnion,"
7月22日 19:32
  ·
[賽馬會開聲體體育口述影像服務 同大家一齊備戰奧運]
東京奧運好快就開幕，賽馬會開聲體體育口述影像服務當然會同各位視障朋友一齊支持我地香港嘅運動員，以及係欣賞世界級嘅體育比賽。為咗令大家睇奧運之前有更充足嘅準備，我哋好榮幸邀請到賽馬會開聲體體育口述影像服務嘅顧問、香港浸會大學體育學系副教授、同時又係香港電台體育資訊節目《十項全能》主持雷雄德博士。雷博士一連三日會同大家解構今屆奧運值得留意嘅地方，大家唔好錯過喇。
第一日雷博士會同我地倒數東京奧運幾時開幕，以及講下疫情之下同以往奧運會嘅安排有咩唔同
奧運進行期間，賽馬會開聲體體育口述影像服務都會舉辦實體或者係網上活動，邀請視障朋友同我哋一齊直擊比賽過程，大家記得留意我地網台嘅公佈：https://www.jcspa.hk/press/upcoming/315 
第一個活動當然係一齊睇奧運開幕典禮，將會由體育口述影像培訓班嘅學員同大家一齊見證呢一個盛典，Mark 低日期: 7月23日晚上7點，到時見。
#賽馬會開聲體體育口述影像服務 #視障人士 #口述影像 #東京奧運 #Toyko2020 #雷雄德博士 #雷sir
31
31
4次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
13,HKBlindUnion,"
7月20日 18:26
  ·
7月 #協進之聲 #由視障會員主理的聲音雜誌 #請多多支持!
7月協進之聲繼續會介紹協進會工作，包括巡查屯馬線，雖然屯馬開通，真的很興奮，不過巡查完都發現有問題要跟進，另外有介紹我哋職員，等會員有更多認識，當然唔少得訪問會員——楊恩華，恩華仲即席表演二胡添!
記得收聽喇!
⋯⋯ 查看更多
31
31
2次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
14,HKBlindUnion,"
7月19日 17:31
  ·
同事特別打上點字預製，令視障人士一起玩大富翁時，買地、交易都可以自己搞掂! 
了解更多點字︰#點字兵兵
https://youtu.be/F5TNFZAsQnM⋯⋯ 查看更多
94
94
4次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
15,HKBlindUnion," 和 Anson Lo 在一起
7月17日 15:56
  ·
導盲犬Delta都係 #神徒，聽聞佢帶埋主人去追星 #笑容解釋一切 #ansonlo #阿牧 #盧瀚霆 #教主 #不可愛教主 
大家下次見到Delta追星，不用驚訝，緊記「#三不一問」就可以了
   #不干擾 #不餵食 #不拒絕 #一問
睇埋影片，了解更多「三不一問」及Delta
⋯⋯ 查看更多
214
214
9次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
16,HKBlindUnion,"
7月16日 19:30
  ·
睇•字典《第三篇（引路徑）》
——危險提示SECURED！
平時路上見到引路徑有大圓點及小圓點，究竟它們有甚麼分別及作用呢?今次【睇•字典】先為大家講解大圓點，正名「危險警示磚」， 作用就是提示磚後的路況有潛在危險!⋯⋯ 查看更多
39
39
10次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。"
17,HKBlindUnion,"
7月16日 19:30
  ·
睇•字典《第三篇（引路徑）》
——危險提示SECURED！
平時路上見到引路徑有大圓點及小圓點，究竟它們有甚麼分別及作用呢?今次【睇•字典】先為大家講解大圓點，正名「危險警示磚」， 作用就是提示磚後的路況有潛在危險!
睇埋補充資料，了解更多!
警示磚 【ging2 si6 zyun1】
全名是危險警示磚，以凸起的大圓點組成，提示視障人士警示磚後的路況環境出現變化，起警示的作用。其直徑35毫米的凸起圓點排列成方形，並與磚邊平行，每塊面積300毫米 x 300毫米，闊度為600毫米（在樓梯梯台的闊度為300毫米），與行走方向成直角。
引路徑是一種為視障人士進行道路指引的公共設施，想重溫引路徑的睇•字典可以按#睇字典，同時希望大家不要在引路徑上擺放任何雜物
，方便視障人士前行
想知道其他磚塊的資訊就要留待下回分解~
【睇•字典-- SECURED！】
用 最貼地 最簡單 最直接的方式
與大家分享，日常生活被遺忘的細節
這些細節卻對視障人士來說卻非常重要。
多留心 多關注 SECURED!
大家可以點讚、留言和分享給身邊的朋友。希望大家期待以後的睇•字典更新。
#香港失明人協進會 #hongkongblindunion #睇字典 #引路徑 #guidepath #
 #
 #公眾教育 #publiceducation
39
39
10次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
18,HKBlindUnion,"
7月15日 11:16
  ·
【本地足球20/21球季完結，係時候匯報我哋服務工作
—賽馬會「開聲體」體育口述影像服務感謝各位支持 】
賽馬會「開聲體」體育口述影像服務今年三月，隨著港超聯重新開放予觀眾入場，我哋終於睇到波！ 
短短幾個月，我哋睇齊哂八隊港超聯球隊嘅賽事，舉辦咗7次服務，包括亞洲球會級賽事、杯賽決賽以及聯賽爭標最重要一戰，响球場內都會見到視障球迷嘅身影。我哋能夠與廣大球迷一同觀賽，同步歡呼，實在有賴一眾評述員嘅聲音導航，各位豐富嘅足球知識以及生動嘅描述，絕對係整個服務嘅靈魂，感謝各位有心人與我哋同行。 
服務過程中，我哋亦慢慢建立咗穩定嘅義工團隊，由義工朋友陪住視障朋友一齊入場，邊睇邊傾，以波會友。除咗要多謝每一位獨當一面嘅義工朋友外，要特別鳴謝香港賽馬會青少年足球發展計劃，佢哋派出多位青年球員參加義工培訓，然後成為我哋最可靠嘅同行伙伴，幾乎每次我地嘅服務，都係由呢班活力十足嘅未來足球希望帶住視障朋友入場同離場，佢哋非常細心，所以唔好再話踢波嘅人係「波牛」喇！ 
最後，要多謝HKFA 香港足球總會對我哋服務嘅支持，由協助聯絡球會、提供購票及座位安排、以至係預先提供比賽資訊等等，多方面都給予最貼心嘅支援，期望响今季嘅合作基礎上，下季可以繼續同大家一齊入場支持本地足球。 
無論來季係點，我哋賽馬會「開聲體」體育口述影像服務都會約定大家，球場見！ 
【本季統計數字】 
服務場數：7場 
視障人士參與人次：63人 
公眾人士參與人次：164人 
總參與人次：227人 
【觀賞賽事記錄】 
2021年3月14日 港超聯 
Biu Chun Rangers 標準流浪 對 傑志 Kitchee
2021年3月27日 港超聯 
冠忠.南區足球會 KC.Southern District Football Club 對  愉園足球隊 Happy Valley FC
2021年4月7日  菁英杯 東方龍獅足球隊Eastern Long Lions Football Team 對 愉園 
2021年4月11日 港超聯 
傑志 對 晉峰足球會
2021年5月19日 港超聯 
天水圍飛馬足球隊 TSW Pegasus FC 對 傑志 
2021年5月23日 港超聯 
東方龍獅 對 傑志 
2021年6月26日 亞協杯 
理文 Lee Man 對 台南市FC 
【參與本季服務的評述員】 
#李德能 Keyman馬啟仁 陳祉俊 Christopher Chan 劉舜文 laushunman #李健和 謝德謙 Tse Takhim 大頭‧Bighead張家偉  
#賽馬會開聲體體育口述影像服務
#香港賽馬會慈善信託基金 
#JCSportsProgrammeswithAudiodescriptionService
#體育口述影像 #視障人士 #口述影像
#我撐本地波 #本地足球 #本地波
#香港足球總會
60
60
1 個回應
8次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Yuenchuen Tsui
仲有多場歐國盃直播
陪大家度過多个通宵辛苦牙
1
讚好
 · 回覆 · 3星期
"
19,HKBlindUnion,"
7月14日 17:27
  ·
【照顧者活動： 插花工作坊
】
失明人協進會照顧者支援服務在6月時，邀請到義工導師來教會員及照顧者插花！
透過兩位專業花藝導師Ada老師及Bonnie老師的指導，再加上中心職員口述影像講解，令參加的視障朋友能夠完成好靚的花藝作品，照顧者亦學習到如何照顧鮮花!希望透過活動可以提高各位心，為大家打打氣！
未來照顧者支援服務都會舉辦不同類型的活動，各位會員及照顧者記得密切留意！
了解更多照顧者支援服務︰https://www.hkbu.org.hk/tc/service/other-guidance/index
#香港失明人協進會 #HongKongBlindUnion #照顧者支援 #西歐花藝會
=======================
 繼續支持協進會工作
https://www.hkbu.org.hk/tc/donation/one-time/index
|| 
Subscribe協進會YouTube Channel ||
https://bit.ly/3mHMDUJ
|| 
Follow 協進會IG||
https://bit.ly/2IRhVad
|| 
香港失明人協進會 #平等 #機會 #獨立 ||
https://www.hkbu.org.hk/
41
41
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
20,HKBlindUnion,"
7月13日 17:24
  ·
【百處逍遙行　體驗無障自遊】
香港失明人協進會今日喺裕民坊舉行發佈會，宣佈裕民坊成為「逍遙行」嘅第100個導航場地！會長莊陳有致歡迎辭表示，協進會一直積極推動科技發展同應用，不單是希望組織視障人士助人自助，亦希望喺共融社會中人人都有平等發展嘅機會。協進會希望「逍遙行」除咗幫助視障人士獨立出行外，亦可以幫助其他有需要人士，同時讓公眾嘅生活更為便利，即係你、你、同你呢！
協進會希望將「逍遙行」推廣至全港，更期望將來能夠提升至戶外與室內貫通嘅無障導航體驗！我哋誠意邀請不同場地一齊參與，為建構共融無障礙城市出一分力！
立即下載：https://bit.ly/2SjwZUR
想了解更多「逍遙行」，大家可以登入網頁﹕scw.hkbu.org.hk。
選擇「參與場地名單」，更可以知道目前支援逍遙行嘅室內場地!
【立即下載「逍遙行」】
下載「逍遙行」iOS版本﹕https://apple.co/2TF10fF
下載「逍遙行」Android版本﹕https://bit.ly/2X0Xxdh
「逍遙行」介紹影片﹕https://youtu.be/uALXbYaglpE
活動詳情︰https://www.hkbu.org.hk/tc/about/latest-news/detail/56
#逍遙行 #賽馬會智能逍遙行計劃 #香港賽馬會慈善信託基金 #HKJCCharitiesTrust  #室內定位 #室內導航 #香港失明人協進會 #HongKongBlindUnion #裕民坊 
莊陳有 Chong Chan Yau 
莊陳有
55
55
5次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
21,HKBlindUnion," 曾在直播。
7月12日 02:45
  ·
1個月嚟咁多個凌晨
多謝大家一直陪住我地
今晚係歐國盃2020嘅決賽
英格蘭
對意大利
評述員陣容有金重國雄、發夢做評述員·蘇雞 - 蘇肇朗 Sochick同余sir 余溢明陪住大家
我地仲有評述員培⋯⋯ 查看更多
60
60
60個回應
11次分享
讚好
回應
分享
60個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
"
22,HKBlindUnion,"
  · 7:03
今晚撐邊隊:英格蘭
俾個like
讚好
 · 回覆 · 3星期
檢視另46則回應
"
23,HKBlindUnion,"
7月11日 14:56
  ·
【歐國盃 12/7 決賽 英格蘭 對 意大利 為你提供口述影像評述】
歷時足足一個月，歐洲國家盃2020終於嚟到終極一戰，有啲唔捨得大家添。
今晚之後就會知道足球係回家？定係返羅馬喇，7月12日凌晨3:00有英格蘭對意大利，成個過程都會有我地賽馬會開聲體體育口述影像服務，評述陣容有余溢明、金重國雄同發夢做評述員·蘇雞 - 蘇肇朗 Sochick，為大家提供即場口述影像評述。除咗佢兩位，我地今晚仲有評述員訓練班嘅3位學員阿Pong、Oscar同Izzy為大家賽前賽後分析形勢，甚至比賽期間講返兩咀，記得登入賽馬會「開聲體」體育口述影像服務網台︰https://www.jcspa.hk ， 一齊「開聲體」歐洲國家盃。⋯⋯ 查看更多
91
91
2個回應
20次分享
讚好
回應
分享
2個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Alan Leung
希望將來可以提供歐聯同四大聯賽的同樣服務
讚好
 · 回覆 · 3星期
查看另 1 則回應
"
24,HKBlindUnion,"
7月9日 19:34
  ·
【睇•字典-- SECURED！】
用 最貼地 最簡單 最直接的方式
與大家分享，日常生活被遺忘的細節
這些細節卻對視障人士來說卻非常重要。
多留心 多關注 SECURED!⋯⋯ 查看更多
25
25
1 個回應
5次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Ling Ojaru
可惜好多公眾地方啲方向磚特別跣，上次黑雨跣低兩個人。對視障人士仲危險，not secured
讚好
 · 回覆 · 4星期"
25,HKBlindUnion,"
7月9日 19:34
  ·
【睇•字典-- SECURED！】
用 最貼地 最簡單 最直接的方式
與大家分享，日常生活被遺忘的細節
這些細節卻對視障人士來說卻非常重要。
多留心 多關注 SECURED!
睇•字典《第二篇（引路徑）》
在行人路上凹凹凸凸的黃色長條磚塊到底是什麽呢？
方向磚【fong1 faai3 zyun1】
方向磚的全名是方向指示磚，是引路徑的其中一種磚塊，以條狀凹凸紋組成，代表直行，視障人士可以順著方向提示磚的條紋前進。
方向磚是由34毫米闊的凸起長條平行排列而成，每塊面積300毫米x 300毫米，各有四條，長條順行走方向鋪砌。
引路徑是一種為視障人士進行道路指引的公共設施，想重溫引路徑的睇•字典可以按#睇字典，同時希望大家不要在引路徑上擺放任何雜物
，方便視障人士前行
想知道其他磚塊的資訊就要留待下回分解~
大家可以點讚、留言和分享給身邊的朋友。希望大家期待以後的睇•字典更新。
#香港失明人協進會 #hongkongblindunion #睇字典 #引路徑 #guidepath #
 #
25
25
1 個回應
5次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Ling Ojaru
可惜好多公眾地方啲方向磚特別跣，上次黑雨跣低兩個人。對視障人士仲危險，not secured
1
讚好
 · 回覆 · 4星期
"
